total_income_lower_bound,total_income_upper_bound,employment_income_count,employment_income_amount,self_employment_income_count,self_employment_income_amount,state_pension_count,state_pension_amount,private_pension_income_count,private_pension_income_amount,property_income_count,property_income_amount,savings_interest_income_count,savings_interest_income_amount,dividend_income_count,dividend_income_amount,year
200000,300000.0,226873,45159925456,48221,7097630842,20081,305793949,28288,2970663268,53572,1833254339,105386,155861314,98485,6811024520,2028
300000,500000.0,124941,38034305310,28261,7055972186,10727,255249853,14026,1827977373,29646,1147236805,64378,132018899,59273,5836785467,2028
500000,1000000.0,61681,30668522455,18268,8368871254,8284,219026825,7762,1510238989,17570,1361971160,42423,222153751,43429,8765575489,2028
1000000,inf,29803,57247064345,14240,32288400530,1870,26608901,2307,460217073,9331,765355789,20772,342170594,22064,24250691013,2028
12570,inf,26543169,1222517705993,3745409,149545673373,7238518,98428186821,8581522,183289207202,2362992,43054128567,11767744,4164106845,4006604,120031344418,2028
12570,15000.0,41322,522174791,9136,106481624,31865,399334404,24278,81593683,2067,19628044,19690,4421706,4083,7788425,2029
15000,20000.0,1959559,32427629478,370332,5133019076,976260,13082968505,931291,5590351923,80459,699610104,914889,93930277,97080,190565674,2029
20000,30000.0,5514866,123647055299,942571,16356359966,2505759,34384205939,2847065,35994008007,364185,4319608486,2775386,581926805,597147,2670847802,2029
30000,40000.0,6496707,204600695976,808977,18507573314,1507572,20704038655,1763629,36142154559,348427,4781269141,2357532,596070159,600272,4678714220,2029
40000,50000.0,4259677,178736924469,482111,13612310733,854265,11643337828,1113634,30549560706,304316,4902300404,1785116,495175585,538919,6211204554,2029
50000,70000.0,3836680,195159795735,550918,19636501335,785823,10706908774,1077388,38119827813,474834,8564045062,1943138,687994382,856363,18916410903,2029
70000,100000.0,2376795,163646937322,277978,11854892360,355513,4837458772,511127,24159428650,372588,8556670378,1040324,519081890,583141,21426450769,2029
100000,150000.0,1244473,125716702018,132842,8291630742,142941,1969988420,204496,13605664626,216724,6097252826,554298,371811545,347205,16653158370,2029
150000,200000.0,357143,51827208117,56289,4870213248,38940,554057655,53551,4880091840,81308,2505862349,134156,185312566,147335,8263579353,2029
200000,300000.0,232665,46215797479,51648,7581090662,22792,344277284,32038,3517051694,57995,2122204759,110881,176906927,103700,7356179584,2029
300000,500000.0,132179,39994880890,30191,7479900857,11530,262058418,15230,2221574216,32519,1404396444,68507,145572226,63558,6564150570,2029
500000,1000000.0,65167,32071479900,19830,9366495732,9284,244865427,8919,1730353411,18375,1451646032,44872,245561015,45612,9234666542,2029
1000000,inf,31452,59862029985,14649,33904055509,1878,26717273,2394,497368158,9895,873603983,21767,374324090,23610,26883847881,2029
12570,inf,26548685,1254429311460,3747472,156700525157,7244421,99160217356,8585040,197089029286,2363691,46298098012,11770556,4478089174,4008026,129057564647,2029
